KP_index,KP_textid,KP_textid2,KP_textid3,L1_index,L1_textid,L2_index,L2_textid,L3_index,L3_textid
1,2130,noes:m1.1,https://noes-m1-v1#/id/997c1bf38ed44c039e8ab5ed57f27e51,1,cse3,1,noes,1,https://noes-m1-v1
2,2131,noes:m1.2,https://noes-m1-v1#/id/06ef041f45504a679b3763544d715275,1,cse3,1,noes,1,https://noes-m1-v1
3,2132,noes:m1.3,https://noes-m1-v1#/id/656e65a5573e4757884e6eb9335317da,1,cse3,1,noes,1,https://noes-m1-v1
4,2133,noes:m1.4,https://noes-m1-v1#/id/ef28526933e842caa43ce105722a039f,1,cse3,1,noes,1,https://noes-m1-v1
5,2134,noes:m1.5,https://noes-m1-v1#/id/cdbb095f87584c0189c6d68f02daef21,1,cse3,1,noes,1,https://noes-m1-v1
6,770,noes:m2.1,https://noes-m2-v1#/id/efad6873779d416e8130c16237ee966e,1,cse3,1,noes,2,https://noes-m2-v1
7,2071,noes:m2.2,https://noes-m2-v1#/id/501e76ef385a4901ad3d0a7f70175a0c,1,cse3,1,noes,2,https://noes-m2-v1
8,2069,noes:m3.1,https://noes-m3-v1#/id/c5f872cd1664430093d4a3aeac614377,1,cse3,1,noes,3,https://noes-m3-v1
9,1609,noes:m3.2,https://noes-m3-v1#/id/2f3ba7e9433a4219962f4e8246332647,1,cse3,1,noes,3,https://noes-m3-v1
10,1610,noes:m3.3,https://noes-m3-v1#/id/5617e5dc77ce45e7bd19ca6e1a10b9ff,1,cse3,1,noes,3,https://noes-m3-v1
11,2184,noes:m4.1,https://noes-m4-v1#/id/0650b854b8c04348bd55c89e78b30209,1,cse3,1,noes,4,https://noes-m4-v1
12,1612,noes:m4.2,https://noes-m4-v1#/id/724d8ccda2ae4ebf9b8e319a6e391c03,1,cse3,1,noes,4,https://noes-m4-v1
13,2185,noes:m4.3,https://noes-m4-v1#/id/d60dd31e6cd944209fac6451b3dff39d,1,cse3,1,noes,4,https://noes-m4-v1
14,2139,noes:m5.1,https://noes-m5-v1#/id/0940f3e5a0e442818bd348304672b489,1,cse3,1,noes,5,https://noes-m5-v1
15,2140,noes:m5.2,https://noes-m5-v1#/id/933188fe1ce246b98e2d3dd749416610,1,cse3,1,noes,5,https://noes-m5-v1
16,2141,noes:m5.3,https://noes-m5-v1#/id/4de098a3bb0c43008072fb5f3a4374cf,1,cse3,1,noes,5,https://noes-m5-v1
17,766,noes:m6.1,https://noes-m6-v1#/id/21560a20f1b64b75a48252ed542466fe,1,cse3,1,noes,6,https://noes-m6-v1
18,765,noes:m6.2,https://noes-m6-v1#/id/d857b36539ea4e1ebc0a7a3b37410390,1,cse3,1,noes,6,https://noes-m6-v1
19,1544,noes:m7.1,https://noes-m7-v1#/id/17429df49b2f4b72879bda91849ee74b,1,cse3,1,noes,7,https://noes-m7-v1
20,1545,noes:m7.2,https://noes-m7-v1#/id/0cf93eb9d70b47e68ab3a52b53d0d450,1,cse3,1,noes,7,https://noes-m7-v1
21,2150,noes:m7.3,https://noes-m7-v1#/id/c29259479ec04b6298b8283bfd373dc2,1,cse3,1,noes,7,https://noes-m7-v1
22,1547,noes:m7.4,https://noes-m7-v1#/id/319cfd63f49645ffa39eac1c8d5c719d,1,cse3,1,noes,7,https://noes-m7-v1
23,1548,noes:m8.1,https://noes-m8-v1#/id/88502585e613474cb5a86d0e90f2c1d9,1,cse3,1,noes,8,https://noes-m8-v1
24,1549,noes:m8.2,https://noes-m8-v1#/id/1d5299f6d27c4a2393815245b90f3177,1,cse3,1,noes,8,https://noes-m8-v1
25,2170,noes:m8.3,https://noes-m8-v1#/id/dfcaa50bd899453399d69b0a8764b78c,1,cse3,1,noes,8,https://noes-m8-v1
26,2171,noes:m8.4,https://noes-m8-v1#/id/de234284c6a34340a391a3ba0972dc6d,1,cse3,1,noes,8,https://noes-m8-v1
27,1552,noes:m8.5,https://noes-m8-v1#/id/8e5cc6eb64dc495dacb39c4b3ac502a8,1,cse3,1,noes,8,https://noes-m8-v1
28,1553,noes:m8.6,https://noes-m8-v1#/id/4457c5e743cc4ee191dceadf14acd490,1,cse3,1,noes,8,https://noes-m8-v1
29,1554,noes:m8.7,https://noes-m8-v1#/id/bcdc702f2f48448bb27e12c19a8c50e0,1,cse3,1,noes,8,https://noes-m8-v1
30,2186,noes:m9.1,https://noes-m9-v1#/id/54fd339a948541cebced609dcc4405fb,1,cse3,1,noes,9,https://noes-m9-v1
31,1582,noes:m9.2,https://noes-m9-v1#/id/56313ec4e70146a88239191b3cb3c0fe,1,cse3,1,noes,9,https://noes-m9-v1
32,2182,noes:m9.3,https://noes-m9-v1#/id/ca9aec9085e741f89caab33fc6f384d6,1,cse3,1,noes,9,https://noes-m9-v1
33,2151,noes:m9.4,https://noes-m9-v1#/id/ac6938803b534ac9abc51568aff9fdfb,1,cse3,1,noes,9,https://noes-m9-v1
34,2136,noes:m10.1,https://noes-m10-v1#/id/02866669f3aa4c69ac9fa2afebfa37b3,1,cse3,1,noes,10,https://noes-m10-v1
35,2137,noes:m10.2,https://noes-m10-v1#/id/119dc6ebfd364b2eb323eec8eff46d26,1,cse3,1,noes,10,https://noes-m10-v1
36,2138,noes:m10.3,https://noes-m10-v1#/id/f30a54434ee043168edf7eeb8d2a3f5c,1,cse3,1,noes,10,https://noes-m10-v1
37,1571,nad:m1.1,https://nad-m1-v1#/id/d5661d9b5f69456da021f849a5599af9,1,cse3,2,nad,11,https://nad-m1-v1
38,2144,nad:m1.2,https://nad-m1-v1#/id/5edb425c68aa4d8cb57b7c40ef4d32ed,1,cse3,2,nad,11,https://nad-m1-v1
39,1572,nad:m1.3,https://nad-m1-v1#/id/43b4b70e8f6b4987ab445720c6c0c8c2,1,cse3,2,nad,11,https://nad-m1-v1
40,2153,nad:m2.1,https://nad-m2-v1#/id/721667500de34c5185ee70287b154d5d,1,cse3,2,nad,12,https://nad-m2-v1
41,2154,nad:m2.2,https://nad-m2-v1#/id/7271bf628d3e4b65a94829c947ce545b,1,cse3,2,nad,12,https://nad-m2-v1
42,2155,nad:m2.3,https://nad-m2-v1#/id/8a9bbe9b9f2e49b0b677f35ab5595248,1,cse3,2,nad,12,https://nad-m2-v1
43,2156,nad:m2.4,https://nad-m2-v1#/id/363a790cc0f941b28d8e79da370e9809,1,cse3,2,nad,12,https://nad-m2-v1
44,2187,nad:m2.5,https://nad-m2-v1#/id/e60c15fc290347cbb2b175a63883f753,1,cse3,2,nad,12,https://nad-m2-v1
45,2159,nad:m2.6,https://nad-m2-v1#/id/15b5285d4b3a4677aff5178b222c60e8,1,cse3,2,nad,12,https://nad-m2-v1
46,2158,nad:m2.7,https://nad-m2-v1#/id/9317e5d238584d28a8442f52a89c987e,1,cse3,2,nad,12,https://nad-m2-v1
47,2183,nad:m3.1,https://nad-m3-v1#/id/a930dbe1e8fb4113bf712c12dc2922b3,1,cse3,2,nad,13,https://nad-m3-v1
48,2072,nad:m3.2,https://nad-m3-v1#/id/dff10f1e93814c06aa70183e11229cbe,1,cse3,2,nad,13,https://nad-m3-v1
49,2146,nad:m3.3,https://nad-m3-v1#/id/30e62d8bc5cb4034be3716b760192aee,1,cse3,2,nad,13,https://nad-m3-v1
50,2147,nad:m3.4,https://nad-m3-v1#/id/e7cb669995be4efe92b3e3dc51092773,1,cse3,2,nad,13,https://nad-m3-v1
51,2090,nad:m4.1,https://nad-m4-v1#/id/634347cf43cf46cc8f8103a988be1285,1,cse3,2,nad,14,https://nad-m4-v1
52,171,nad:m4.2,https://nad-m4-v1#/id/21ad093e04e34601be162d2f4d74b3be,1,cse3,2,nad,14,https://nad-m4-v1
53,2091,nad:m4.3,https://nad-m4-v1#/id/d41f88dbc61d48ee9fc16ea9f0ec8593,1,cse3,2,nad,14,https://nad-m4-v1
54,175,nad:m4.4,https://nad-m4-v1#/id/a6beebfdc5bf478a8533999a1f3147b4,1,cse3,2,nad,14,https://nad-m4-v1
55,2092,nad:m4.5,https://nad-m4-v1#/id/bdf1ddde113945a7a4bcae63a3f7e5a1,1,cse3,2,nad,14,https://nad-m4-v1
56,502,nad:m4.6,https://nad-m4-v1#/id/c4272f7b6b134a028c8bf2adf6058707,1,cse3,2,nad,14,https://nad-m4-v1
57,504,nad:m4.7,https://nad-m4-v1#/id/6ea4d09865e64bb8932caadc8a95b78c,1,cse3,2,nad,14,https://nad-m4-v1
58,506,nad:m5.1,https://nad-m5-v1#/id/59603ebff7f34abdaccc77923191e4b1,1,cse3,2,nad,15,https://nad-m5-v1
59,509,nad:m5.2,https://nad-m5-v1#/id/0526b291ace54131b34a36ffb3af55cd,1,cse3,2,nad,15,https://nad-m5-v1
60,510,nad:m6.1,https://nad-m6-v1#/id/fb38ff0aa70d4538838f5f12f9891931,1,cse3,2,nad,16,https://nad-m6-v1
61,511,nad:m6.2,https://nad-m6-v1#/id/715072eb97e8491a8dd8b25543ace7c0,1,cse3,2,nad,16,https://nad-m6-v1
62,512,nad:m6.3,https://nad-m6-v1#/id/2244935e336b42668794b2b492398648,1,cse3,2,nad,16,https://nad-m6-v1
63,2174,nad:m7.1,https://nad-m7-v1#/id/6effa71a71e74449b6973bc1cf9b6f51,1,cse3,2,nad,17,https://nad-m7-v1
64,2175,nad:m7.2,https://nad-m7-v1#/id/88b8e41175854b71b0e348d877dfec57,1,cse3,2,nad,17,https://nad-m7-v1
65,2177,nad:m7.3,https://nad-m7-v1#/id/503b373b0712464a8c95324a27e37968,1,cse3,2,nad,17,https://nad-m7-v1
66,2178,nad:m7.4,https://nad-m7-v1#/id/6afde03f433644cda2a08b86f7210516,1,cse3,2,nad,17,https://nad-m7-v1
67,2176,nad:m7.5,https://nad-m7-v1#/id/e15c3bfdc2034f838eb36be99db58e58,1,cse3,2,nad,17,https://nad-m7-v1
68,2180,nad:m7.6,https://nad-m7-v1#/id/1b928cbe7f614957bb4a02e2e3930fdd,1,cse3,2,nad,17,https://nad-m7-v1
69,2152,nad:m8.1,https://nad-m8-v1#/id/37fd8fdfcc864665905f00796fe95631,1,cse3,2,nad,18,https://nad-m8-v1
70,2160,nad:m8.2,https://nad-m8-v1#/id/4740ab4fb5b748c3b71cb3e954e4257b,1,cse3,2,nad,18,https://nad-m8-v1
71,1578,nad:m8.3,https://nad-m8-v1#/id/5ce907606e2d48f2952cc5aacd966cc4,1,cse3,2,nad,18,https://nad-m8-v1
72,2161,nad:m8.4,https://nad-m8-v1#/id/b960dbe66d7f4b24bd5d7fc6db1852d8,1,cse3,2,nad,18,https://nad-m8-v1
73,2188,nad:m8.5,https://nad-m8-v1#/id/43b90f07ef774a61b3bc5b003cf15751,1,cse3,2,nad,18,https://nad-m8-v1
74,2172,nad:m8.6,https://nad-m8-v1#/id/1052359d006a47828bd9a6649340c6ec,1,cse3,2,nad,18,https://nad-m8-v1
75,1581,nad:m8.7,https://nad-m8-v1#/id/39e3959b38ea46f7bd1928fa4ee42798,1,cse3,2,nad,18,https://nad-m8-v1
76,1590,nad:m9.1,https://nad-m9-v1#/id/81bb4680751346aab43357f5eb3dd4f0,1,cse3,2,nad,19,https://nad-m9-v1
77,1591,nad:m9.2,https://nad-m9-v1#/id/7bd8b3b8089e412496166e481ca2728a,1,cse3,2,nad,19,https://nad-m9-v1
78,1592,nad:m10.1,https://Network-Essentials-module-8-the-internet-protocol-ga#/id/5cbb436e56044154a7d04bf03e6733f1,1,cse3,2,nad,20,https://Network-Essentials-module-8-the-internet-protocol-ga
79,1593,nad:m10.2,https://Network-Essentials-module-8-the-internet-protocol-ga#/id/691e2584d598401aaf01ddd5c32b3e06,1,cse3,2,nad,20,https://Network-Essentials-module-8-the-internet-protocol-ga
80,2162,nad:m10.3,https://Network-Essentials-module-8-the-internet-protocol-ga#/id/cc5f88e9e6d24b33aca8958229ba926e,1,cse3,2,nad,20,https://Network-Essentials-module-8-the-internet-protocol-ga
81,1613,nad:m11.1,https://nad-m11-v1#/id/1d1a47b59f064110b838ebced05b658a,1,cse3,2,nad,21,https://nad-m11-v1
82,1614,nad:m11.2,https://nad-m11-v1#/id/a665e0e00e1047b2a0a080f7c06a9da7,1,cse3,2,nad,21,https://nad-m11-v1
83,2163,varmir:m1.1,https://varmir-m1-v1#/id/9415568f4cdf43cc95f6259e75b47ff6,1,cse3,3,varmir,22,https://varmir-m1-v1
84,2164,varmir:m1.2,https://varmir-m1-v1#/id/a05be35b4e7a4699b3f0a1a8e25182ec,1,cse3,3,varmir,22,https://varmir-m1-v1
85,2165,varmir:m1.3,https://varmir-m1-v1#/id/88cd7393d080448c9c37695f601632e7,1,cse3,3,varmir,22,https://varmir-m1-v1
86,2173,varmir:m2.1,https://varmir-m2-v1#/id/14ff5bb7a06f4a30a49f47e246ca5dc2,1,cse3,3,varmir,23,https://varmir-m2-v1
87,659,varmir:m2.2,https://varmir-m2-v1#/id/46c77cd0da114307abe4001a6bbd01dc,1,cse3,3,varmir,23,https://varmir-m2-v1
88,799,varmir:m2.3,https://varmir-m2-v1#/id/8f857eb9099941efaf0f514e08e85295,1,cse3,3,varmir,23,https://varmir-m2-v1
89,2179,varmir:m2.4,https://varmir-m2-v1#/id/0c59914f84ac4a80a61697b5b5a670ac,1,cse3,3,varmir,23,https://varmir-m2-v1
90,1575,varmir:m3.1,https://varmir-m3-v1#/id/f6c6f3d67cae4ca99c2f0594426076ea,1,cse3,3,varmir,24,https://varmir-m3-v1
91,2079,varmir:m3.2,https://varmir-m3-v1#/id/9e6985b3ec9644739e1fb2c43dbb4722,1,cse3,3,varmir,24,https://varmir-m3-v1
92,1585,varmir:m4.1,https://varmir-m4-v1#/id/4526a59629bf49db9501b8d919f7aa30,1,cse3,3,varmir,25,https://varmir-m4-v1
93,1586,varmir:m4.2,https://varmir-m4-v1#/id/46fc4a8ea18e4702912bbf62417c3c98,1,cse3,3,varmir,25,https://varmir-m4-v1
94,1588,varmir:m4.3,https://varmir-m4-v1#/id/4bb5266b9a1d40b184e1c7a797ad1bec,1,cse3,3,varmir,25,https://varmir-m4-v1
95,2166,varmir:m5.1,https://varmir-m5-v1#/id/2b9b2e2e4a4a43c6b413a5439b46eca5,1,cse3,3,varmir,26,https://varmir-m5-v1
96,2167,varmir:m5.2,https://varmir-m5-v1#/id/00ba0499a07d47bdb29d77bffa3f378c,1,cse3,3,varmir,26,https://varmir-m5-v1
97,2168,varmir:m5.3,https://varmir-m5-v1#/id/e4cf9eea6bd1470c8ce1ae3648a37f1c,1,cse3,3,varmir,26,https://varmir-m5-v1
98,1618,varmir:m6.1,https://varmir-m6-v1#/id/2d761892b9c744ff86c32c3ca49869eb,1,cse3,3,varmir,27,https://varmir-m6-v1
99,1619,varmir:m6.2,https://varmir-m6-v1#/id/1e5ecad3a7d74e22ab9af62ee93a8616,1,cse3,3,varmir,27,https://varmir-m6-v1
100,2181,varmir:m6.3,https://varmir-m6-v1#/id/66b1556cbd974aa6b05aa7491d453569,1,cse3,3,varmir,27,https://varmir-m6-v1
101,1605,varmir:m6.4,https://varmir-m6-v1#/id/6161d2aebb854d35a43cdab3b71eb298,1,cse3,3,varmir,27,https://varmir-m6-v1
102,2169,varmir:m6.5,https://varmir-m6-v1#/id/ce42dcb4b0fd43579dac20b656ec2414,1,cse3,3,varmir,27,https://varmir-m6-v1
